22-Jan-05 12:50:28 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:31 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:31 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:31 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:34 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:35 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:35 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:38 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:38 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:38 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:41 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:41 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:41 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:44 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:44 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:44 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:47 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:47 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:47 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:50 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:50 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:50 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:53 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:53 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:53 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:56 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:56 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:56 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:59 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:59 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:59 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:03 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:03 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:03 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:06 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:06 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:06 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:09 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:09 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:09 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:12 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:12 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:12 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:12 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:15 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:15 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:15 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:18 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:18 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:18 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:21 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:21 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:21 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:24 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:24 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:24 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:28 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:28 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:28 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:31 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:31 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:31 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:34 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:34 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:34 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:37 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:37 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:37 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:40 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:40 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:40 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:43 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:43 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:43 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:46 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:46 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:46 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:49 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:49 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:49 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:52 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:52 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:53 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:56 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:56 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:51:56 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:52:25 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:25 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:25 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:25 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:28 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:28 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:28 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:31 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:31 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:31 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:43 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:43 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:43 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:52:46 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
